Timestamp(s),Pressure(Pa),Altitude(m),TempBaro(C),Humidity(%),TempHygro(C),TempTherm(C),Date(y-m-d),Time(h:m:s),TimeError(s),Latitude(deg),LatError(deg),Longitide(deg),LonError(deg),Altitude(m),AltError(m),Climb(m/s),ClimbError(m/s),Track(deg),TrackError(deg),Speed(m/s),SpeedError(m/s)
1620341691,99216.5,176.6276951247425,21.1875,43.9810788128481,20.679407949950402,20.8125,2021-05-06,22:53:28.000,0.005,35.027043333,5.145,-85.276716667,3.652,220.3,5.577,0.0,11.15,38.69,,0.216,10.29
1620341701,99211.5,176.00268558785382,21.25,44.33356221866178,20.706111238269628,20.75,2021-05-06,22:53:29.000,0.005,35.02705,5.145,-85.276711667,3.652,220.3,5.577,0.0,11.15,31.21,,0.52,10.29
1620341711,99214.75,176.00268558785382,21.1875,44.3778133821622,20.706111238269628,20.8125,2021-05-06,22:53:30.000,0.005,35.027053333,5.145,-85.276711667,3.652,220.3,5.577,0.0,11.15,37.44,,0.324,10.29
1620341721,99216.25,176.0651865415427,21.25,44.51209277485313,20.706111238269628,20.8125,2021-05-06,22:53:31.000,0.005,35.027055,5.145,-85.276713333,3.652,220.3,5.577,0.0,11.15,26.65,,0.077,10.29
1620341731,99216.0,176.0651865415427,21.25,44.64026855878539,20.706111238269628,20.75,2021-05-06,22:53:32.000,0.005,35.027056667,5.145,-85.276715,3.652,220.3,5.577,0.0,11.15,280.15,,0.118,10.29
1620341741,99215.75,176.2526894026093,21.25,44.489204242008086,20.706111238269628,20.8125,2021-05-06,22:53:33.000,0.005,35.027056667,5.145,-85.27672,3.652,220.3,5.577,0.0,11.15,276.12,,0.298,10.29
1620341764,99212.25,176.31519035629816,21.25,44.452582589456014,20.706111238269628,20.8125,2021-05-06,22:56:04.000,0.005,35.027038333,,-85.276691667,,,,,,334.99,,0.18,
1620341774,99214.0,176.4401922636759,21.25,44.43884946974899,20.722133211261152,20.8125,2021-05-06,22:56:05.000,0.005,35.02704,,-85.276693333,,221.8,5.405,0.0,,8.49,,0.556,
1620341784,99211.25,176.0651865415427,21.25,44.41901274128328,20.692759594110015,20.8125,2021-05-06,22:56:06.000,0.005,35.027041667,,-85.27669,,221.8,5.405,0.0,10.81,11.26,,0.221,
1620341794,99214.5,176.0651865415427,21.25,44.240482185091935,20.692759594110015,20.75,2021-05-06,22:56:07.000,0.005,35.027041667,,-85.27669,,221.7,15.64,-0.1,21.05,203.74,,0.406,
1620341804,99213.0,176.0651865415427,21.25,44.37933928435187,20.706111238269628,20.75,2021-05-06,22:56:08.000,0.005,35.027038333,,-85.276691667,,221.7,15.64,0.0,31.28,189.88,,0.535,
1620341820,99215.0,176.37769130998703,21.25,44.41443503471427,20.722133211261152,20.8125,,,,35.02709,,-85.27672,,222.1,,,,,,,
1620341830,99213.0,176.31519035629816,21.25,44.53498130769818,20.692759594110015,20.8125,,,,35.02709,,-85.27672,,222.1,5.405,,,,,,
1620341840,99215.25,175.8151827267872,21.25,44.370183871213854,20.692759594110015,20.8125,2021-05-06,22:57:00.000,0.005,35.02709,,-85.27672,,222.1,5.405,,,321.78,,0.123,
1620403085,99724.25,132.62702372777906,17.9375,51.94171053635463,17.739375906004426,17.6875,,,,,,,,,,,,,,,
1620403095,99717.5,133.25203326466774,17.9375,52.00579842832075,17.710002288853282,17.6875,2021-05-07,15:58:05.000,0.005,,,,,,,,,,,,
1620403105,99721.5,133.3145342183566,17.9375,51.78912031738766,17.752727550164032,17.6875,2021-05-07,15:58:06.000,0.005,,,,,,,,,,,,
1620403115,99715.5,133.43953612573435,17.9375,51.7067215991455,17.726024261844813,17.6875,2021-05-07,15:58:07.000,0.005,,,,,,,,,,,,
1620403125,99722.5,133.68953994048982,17.875,51.743343251697574,17.726024261844813,17.625,2021-05-07,15:58:08.000,0.005,,,,,,,,,,,,
1620403135,99717.25,133.7520408941787,17.875,51.509880216678106,17.710002288853282,17.6875,2021-05-07,15:58:09.000,0.005,,,,,,,,,,,,
1620403145,99712.75,133.37703517204548,17.9375,51.76623178454262,17.696650644693676,17.75,2021-05-07,15:58:10.000,0.005,,,,,,,,,,,,
1620403155,99716.75,133.12703135729,17.9375,51.96917677576868,17.726024261844813,17.6875,2021-05-07,15:58:11.000,0.005,,,,,,,,,,,,
1620403165,99714.5,133.43953612573435,17.9375,52.05920500495919,17.726024261844813,17.625,2021-05-07,15:58:12.000,0.005,,,,,,,,,,,,
1620403175,99721.0,133.06453040360114,17.9375,52.09277485313192,17.710002288853282,17.625,2021-05-07,15:58:13.000,0.005,,,,,,,,,,,,
1620403185,99718.25,133.3145342183566,17.9375,52.10040436408027,17.696650644693676,17.6875,2021-05-07,15:58:14.000,0.005,,,,,,,,,,,,
1620403195,99718.0,133.25203326466774,17.9375,52.082093537804234,17.696650644693676,17.6875,2021-05-07,15:58:15.000,0.005,,,,,,,,,,,,
1620403205,99721.0,133.37703517204548,17.9375,52.037842374303814,17.726024261844813,17.625,2021-05-07,15:58:16.000,0.005,,,,,,,,,,,,
